_id,publisher,statementOfResp,sysNumbers,title,type
994790850102311,"Walker & Associates,","by Walker & Associates.","(TU)000479085UTK01 | 504822 | (OCoLC)09379175","Jake Butcher for governor","projected medium"
991856830102311,"Tuskegee Institute, School of Veterinary Medicine, Dept. of Radiology","Ellis Hall, JoAnne Carey.","(TU)000185683UTK01 | 202056 | (OCoLC)07266005","The use of air as a contrast medium in small animal radiology","projected medium"
991262280102311,"College of Veterinary Medicine, University of Tennessee,","by Dennis Geiser.","(TU)000126228UTK01 | 139387 | (OCoLC)06969820","Equine laryngostomy and ventriculectomy, and emergency tracheostomy.","projected medium"
994938970102311,"Warner Home Video,","released by Warner Brothers.","(TU)000493897UTK01 | 520081 | (OCoLC)09452899","Day for night","projected medium"
994403500102311,"Bailey, Deardourff & Associates?,","Bailey, Deardourff & Associates.","(TU)000440350UTK01 | 464891 | (OCoLC)09208626","Alexander spots","projected medium"
994478180102311,"King of Video,",,"(TU)000447818UTK01 | 472632 | (OCoLC)08812014","Elvis in the fifties","projected medium"
993287420102311,"s.n.,",,"(TU)000328742UTK01 | 350430 | (OCoLC)08192209","[Kefauver miscellany.","projected medium"
992088700102311,"WGBH Educational Foundation,",,"(TU)000208870UTK01 | 226774 | (OCoLC)07118939","The shirt off your back","projected medium"
995592780102311,"MCA Videocassette,","Universal Studios, Inc.","(TU)000559278UTK01 | 587502 | (OCoLC)07195818","Coal miner's daughter","projected medium"
992629040102311,"Continuing Education Library, Pitman-Moore,","by Susan J. Updike.","(TU)000262904UTK01 | 283063 | (OCoLC)07917241","Anatomy of the canine stifle","projected medium"
991065480102311,"The Company,","Eli Lilly and Company ; [produced by] Wexler Films.","(TU)000106548UTK01 | 118123 | (OCoLC)05138079","The Dynamic kidney","projected medium"
994454360102311,"University Media,","BBC-TV/Open University.","(TU)000445436UTK01 | 470107 | (OCoLC)09239455","Evolution of an ocean","projected medium"
992041770102311,"Somerset House, 1980.","Joseph Long.","(TU)000204177UTK01 | 221474 | (OCoLC)07342990","Th̢̩tre des vari̩t̩s","projected medium"
995527220102311,,,"(TU)000552722UTK01 | 580382",Dictionary,"three-dimensional artifact or naturally occurring object"
992562140102311,"College of Veterinary Medicine, University of Tennessee,","author, Mark P. Nasisse ; assistant Caroline Bundy.","(TU)000256214UTK01 | 276250 | (OCoLC)07845890","The technique of conjunctival and corneal scraping for ocular cytology","projected medium"
995598430102311,"s.n.,","a production of the Child Guidance Center of Greater Cleveland.","(TU)000559843UTK01 | 588146 | (OCoLC)11275165","Management of a crisis in adolescent group therapy","projected medium"
995392610102311,"Ramic Productions,","Eden Ryl ; made by Ramic Productions.","(TU)000539261UTK01 | 566561 | (OCoLC)05646978","You can surpass yourself.","projected medium"
991183980102311,"The Society,","Japan Society, inc.","(TU)000118398UTK01 | 131324 | (OCoLC)06899222","Shinto : nature, gods, and man in Japan.","projected medium"
992017150102311,"Movietonews, Inc.,","narrated by Joe King.","(TU)000201715UTK01 | 218690 | (OCoLC)07325658","The Kefauver crime investigation","projected medium"
995578290102311,,,"(TU)000557829UTK01 | 585852","National holidays around the world","three-dimensional artifact or naturally occurring object"
995547290102311,"MGM/UA Home Video,",,"(TU)000554729UTK01 | 582542 | (OCoLC)10405581","A Doll's house","projected medium"
995406520102311,,,"(TU)000540652UTK01 | 567996","The imitation of Christ in four books","three-dimensional artifact or naturally occurring object"
993818650102311,"Time-Life Video,","British Broadcasting Corporation in association with Time-Life Television.","(TU)000381865UTK01 | 404499 | (OCoLC)08698355","King Lear","projected medium"
995609630102311,,,"(TU)000560963UTK01 | 589410","The hat-shaking dance and other tales from the Gold Coast","three-dimensional artifact or naturally occurring object"
995651740102311,,,"(TU)000565174UTK01 | 594008","Stories from the Arabian nights","three-dimensional artifact or naturally occurring object"
994312090102311,"IMAJ Film Library],","by James Ackerman and Kathleen Weil Garris.","(TU)000431209UTK01 | 455580 | (OCoLC)05586561","Looking for Renaissance Rome.","projected medium"
995632530102311,,,"(TU)000563253UTK01 | 591862","Stitchery for children","three-dimensional artifact or naturally occurring object"
994513550102311,"The Agency : distributed by National Audiovisual Center,","United States Agricultural Adjustment Agency.","(TU)000451355UTK01 | 476274 | (OCoLC)05895346","The Land.","projected medium"
994144300102311,"Time-Life Multimedia],","BBC Television Production in association with Time-Life Television.","(TU)000414430UTK01 | 438416 | (OCoLC)07231859","The Merchant of Venice","projected medium"
995496520102311,,"James R. Stokley Institute for Liberal Arts Education.","(TU)000549652UTK01 | 577228 | (OCoLC)09606877","Appalachia in perspective a faculty seminar /","projected medium"
992593540102311,"The Dept.,","U.S. Dept. of the Navy.","(TU)000259354UTK01 | 279459 | (OCoLC)06155837","The fleet that came to stay.","projected medium"
995323810102311,"Appalshop Films,","produced by Appalshop, Inc.","(TU)000532381UTK01 | 559474 | (OCoLC)09922436","Strip mining energy, environment, and economics /","projected medium"
