001,245$a,500,538,007$00,336,337,338,245$h,008$31
"994790850102311","Jake Butcher for governor",,,"v",,,,"[videorecording] /","\"
"991856830102311","The use of air as a contrast medium in small animal radiology","Slides mounted in 1 carousel.;""A Pitman-Moore continuing educational program."";Produced in cooperation with the American Animal Hospital Association.",,"n",,,,"[slide] /","\"
"991262280102311","Equine laryngostomy and ventriculectomy, and emergency tracheostomy.",,"U-matic.","v",,,,"[videorecording] /","\"
"994938970102311","Day for night","""English language version."";Original screenplay by François Truffaut.",,"v",,,,"[videorecording] /","\"
"994403500102311","Alexander spots",,"U-matic.","v",,,,"[videorecording] /","\"
"994478180102311","Elvis in the fifties",,,"v",,,,"[videorecording]","\"
"993287420102311","[Kefauver miscellany.","Reproduction from motion picture.;A compilation of various motion picture shorts.","DVD","g",,,,"[videorecording]","\"
"992088700102311","The shirt off your back","U Standard.;Orginally broadcast as television program by WGBH.;Title on container: Inside Europe; the shirt off our backs.",,"v",,,,"[videorecording].","\"
"995592780102311","Coal miner's daughter","VHS format.",,,,,,"[videorecording] /","\"
"992629040102311","Anatomy of the canine stifle","Slides mounted in 1 carousel.;""A Pitman-Moore continuing educational program."";Produced in cooperation with the American Animal Hospital Association.",,"g",,,,"[slide] /","\"
"991065480102311","The Dynamic kidney","Rating: Highly recommended.;Review date: July 1980.;Reviewer: Association of American Medical Colleges (AAMC).;Learning method: Support.",,"v",,,,"[videorecording] /","\"
"994454360102311","Evolution of an ocean",,,"m",,,,"[motion picture] /","\"
"992041770102311","Théâtre des variétés","Published in association with the Consortium for Drama and Media in Higher Education.",,"g",,,,"[slide] /","\"
"995527220102311","Dictionary",,,,,,,,"0"
"992562140102311","The technique of conjunctival and corneal scraping for ocular cytology",,"U-matic.","v",,,,"[videorecording] /","\"
"995598430102311","Management of a crisis in adolescent group therapy","VHS format.",,"v",,,,"[videorecording] /","\"
"995392610102311","You can surpass yourself.","With leader's guide.;Also issued as videocassette.;Spanish version also issued.",,"m",,,,"[motion picture] /","\"
"991183980102311","Shinto :","U standard.",,"v",,,,"[videorecording] /","\"
"992017150102311","The Kefauver crime investigation",,,"v",,,,"[motion picture] /","\"
"995578290102311","National holidays around the world",,,,,,,,"0"
"995547290102311","A Doll's house","VHS format.;""MV400299"";Based on the play, ""Et dukkehjem,"" written by Henrik Ibsen in 1879.;Videocassette release of the 1981 motion picture by Sonny Fox Productions. Original production televised on November 15, 1959.",,"v",,,,"[videorecording] / Sonny Fox Productions.","\"
"995406520102311","The imitation of Christ in four books",,,,,,,,"\"
"993818650102311","King Lear",,,"v",,,,"[videorecording] /","\"
"995609630102311","The hat-shaking dance and other tales from the Gold Coast",,,,,,,,"\"
"995651740102311","Stories from the Arabian nights",,,,,,,,"0"
